1 receivedTextFrom 0 1669396691.016367
3 sentTextTo 1 1669396691.037422
1 receivedTextFrom 3 1669396691.039578
3 sentTextTo 1 1669396691.057655
1 receivedTextFrom 3 1669396691.059407
3 sentTextTo 1 1669396691.078583
1 receivedTextFrom 3 1669396691.080369
0 sentTextTo 2 1669396691.099947
2 receivedTextFrom 0 1669396691.102544
0 sentTextTo 2 1669396691.119906
2 receivedTextFrom 0 1669396691.121828
0 sentTextTo 2 1669396691.141192
2 receivedTextFrom 0 1669396691.14304
3 sentTextTo 4 1669396691.163728
4 receivedTextFrom 3 1669396691.165905
3 sentTextTo 4 1669396691.184987
4 receivedTextFrom 3 1669396691.186798
3 sentTextTo 4 1669396691.205927
4 receivedTextFrom 3 1669396691.207924
4 sentTextTo 1 1669396691.22843
1 receivedTextFrom 4 1669396691.230232
4 sentTextTo 1 1669396691.249592
1 receivedTextFrom 4 1669396691.251423
4 sentTextTo 1 1669396691.270563
1 receivedTextFrom 4 1669396691.272417
2 sentTextTo 3 1669396691.292077
3 receivedTextFrom 2 1669396691.294135
2 sentTextTo 3 1669396691.313212
3 receivedTextFrom 2 1669396691.315095
2 sentTextTo 3 1669396691.334117
3 receivedTextFrom 2 1669396691.33711
2 sentTextTo 1 1669396691.356077
1 receivedTextFrom 2 1669396691.358254
2 sentTextTo 1 1669396691.376461
1 receivedTextFrom 2 1669396691.378377
2 sentTextTo 1 1669396691.396263
1 receivedTextFrom 2 1669396691.39813
4 sentTextTo 3 1669396691.416147
3 receivedTextFrom 4 1669396691.418996
4 sentTextTo 3 1669396691.435512
3 receivedTextFrom 4 1669396691.437404
4 sentTextTo 3 1669396691.456738
3 receivedTextFrom 4 1669396691.45861
2 sentTextTo 0 1669396691.478761
0 receivedTextFrom 2 1669396691.480941
2 sentTextTo 0 1669396691.499638
0 receivedTextFrom 2 1669396691.501552
2 sentTextTo 0 1669396691.520764
0 receivedTextFrom 2 1669396691.522664
4 sentTextTo 3 1669396691.541144
3 receivedTextFrom 4 1669396691.543263
4 sentTextTo 3 1669396691.562118
3 receivedTextFrom 4 1669396691.564038
4 sentTextTo 3 1669396691.58314
3 receivedTextFrom 4 1669396691.58616
3 sentTextTo 3 1669396691.605362
3 receivedTextFrom 3 1669396691.607172
3 sentTextTo 3 1669396691.627598
3 receivedTextFrom 3 1669396691.629287
3 sentTextTo 3 1669396691.649697
3 receivedTextFrom 3 1669396691.651398
4 sentTextTo 0 1669396691.673764
0 receivedTextFrom 4 1669396691.675645
4 sentTextTo 0 1669396691.694733
0 receivedTextFrom 4 1669396691.696851
4 sentTextTo 0 1669396691.715591
0 receivedTextFrom 4 1669396691.717505
0 sentTextTo 3 1669396691.735821
3 receivedTextFrom 0 1669396691.737591
0 sentTextTo 3 1669396691.756997
3 receivedTextFrom 0 1669396691.759032
0 sentTextTo 3 1669396691.777889
3 receivedTextFrom 0 1669396691.779638
1 sentTextTo 4 1669396691.800652
4 receivedTextFrom 1 1669396691.803497
1 sentTextTo 4 1669396691.821627
4 receivedTextFrom 1 1669396691.823413
1 sentTextTo 4 1669396691.842709
4 receivedTextFrom 1 1669396691.844551
1 sentTextTo 2 1669396691.86593
